Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD75,Kolkata,Shiv Nadar University,4th,Data Science,WhatsApp
LD76,Coimbatore,BITS Pilani,3rd,Electric Vehicle,Instagram
LD77,Hyderabad,Manipal University,2nd,Cyber Security,LinkedIn
LD78,Pune,NIT Trichy,3rd,Robotics,Email
LD79,Bhopal,Jamia Millia Islamia,1st,Machine Learning,Referral
LD80,Indore,ABC Institute,3rd,Cyber Security,Facebook
LD81,Surat,Amity University,4th,AI,College Collaboration
LD82,Nagpur,BITS Pilani,4th,AI,Google Form
LD83,Ahmedabad,IISc Bangalore,2nd,Machine Learning,Referral
LD84,Nagpur,VIT Vellore,4th,Cyber Security,College Collaboration
LD85,Surat,SP College,1st,Machine Learning,Facebook
LD86,Bangalore,Shiv Nadar University,3rd,Data Science,Google Form
LD87,Trivandrum,Manipal University,3rd,Data Science,Instagram
LD88,Surat,SRM University,3rd,Robotics,Instagram
LD89,Ahmedabad,XYZ University,4th,Robotics,WhatsApp
LD90,Delhi,Shivaji University,4th,Electric Vehicle,Instagram
LD91,Ahmedabad,SRM University,3rd,Cloud Computing,LinkedIn
LD92,Coimbatore,XYZ University,1st,Machine Learning,Email
LD93,Pune,NIT Warangal,4th,Cyber Security,LinkedIn
LD94,Chandigarh,SRM University,1st,Data Science,Google Form
LD95,Mumbai,Bharati Vidyapeeth,2nd,Machine Learning,LinkedIn
LD96,Jaipur,MIT Pune,1st,Cloud Computing,Email
LD97,Chennai,SRM University,3rd,Electric Vehicle,Referral
LD98,Hyderabad,Manipal University,3rd,Electric Vehicle,Facebook
LD99,Patna,Manipal University,3rd,Data Science,Facebook
LD100,Patna,NIT Warangal,1st,Machine Learning,Mass-Mailing
LD101,Hyderabad,IISc Bangalore,3rd,Electric Vehicle,Facebook
LD102,Ahmedabad,IISc Bangalore,1st,AI,LinkedIn
LD103,Lucknow,NIT Warangal,2nd,Electric Vehicle,Email
LD104,Jaipur,IISc Bangalore,3rd,Robotics,Mass-Mailing
LD105,Hyderabad,Shivaji University,3rd,Data Science,Google Form
LD106,Ahmedabad,BITS Pilani,4th,Electric Vehicle,Google Form
LD107,Kolkata,University of Delhi,3rd,Data Science,Google Form
LD108,Bhopal,Jadavpur University,3rd,Data Science,Email
LD109,Vadodara,Jadavpur University,2nd,Electric Vehicle,Email
LD110,Nagpur,NIT Trichy,1st,Electric Vehicle,Referral
LD111,Delhi,NIT Warangal,3rd,Robotics,College Collaboration
LD112,Jaipur,IISc Bangalore,3rd,Cyber Security,WhatsApp
LD113,Bhopal,Jadavpur University,4th,Machine Learning,Referral
LD114,Bangalore,Manipal University,4th,Machine Learning,Email
LD115,Mumbai,Jamia Millia Islamia,4th,Machine Learning,Email
LD116,Hyderabad,VIT Vellore,4th,Robotics,Facebook
LD117,Chandigarh,IISc Bangalore,3rd,Electric Vehicle,Google Form
LD118,Mumbai,VIT Vellore,1st,Cloud Computing,LinkedIn
LD119,Pune,Jadavpur University,1st,Robotics,Mass-Mailing
LD120,Indore,SP College,4th,Machine Learning,Google Form
LD121,Lucknow,Amity University,3rd,Robotics,College Collaboration
LD122,Surat,XYZ University,4th,Machine Learning,WhatsApp
LD123,Trivandrum,University of Delhi,4th,Cyber Security,College Collaboration
LD124,Lucknow,ABC Institute,1st,Cloud Computing,Facebook
LD125,Delhi,XYZ University,2nd,Cloud Computing,Instagram
LD126,Pune,Bharati Vidyapeeth,2nd,Robotics,Instagram
LD127,Jaipur,IISc Bangalore,2nd,Machine Learning,LinkedIn
LD128,Hyderabad,VIT Vellore,4th,Cloud Computing,Referral
LD129,Indore,Jamia Millia Islamia,3rd,AI,LinkedIn
LD130,Surat,Amity University,4th,AI,Facebook
LD131,Coimbatore,NIT Warangal,4th,Data Science,LinkedIn
LD132,Coimbatore,MIT Pune,2nd,Data Science,WhatsApp
LD133,Hyderabad,XYZ University,4th,Machine Learning,College Collaboration
LD134,Lucknow,IISc Bangalore,1st,Machine Learning,LinkedIn
LD135,Patna,Shiv Nadar University,2nd,AI,Instagram
LD136,Indore,SRM University,4th,AI,Google Form
LD137,Delhi,SP College,3rd,Electric Vehicle,WhatsApp
LD138,Mumbai,NIT Warangal,2nd,Data Science,Email
LD139,Indore,SP College,2nd,AI,Instagram
LD140,Kolkata,VIT Vellore,4th,Cloud Computing,College Collaboration
LD141,Kolkata,Amity University,4th,Robotics,Referral
LD142,Trivandrum,SP College,3rd,Electric Vehicle,Facebook
LD143,Lucknow,ABC Institute,1st,Robotics,Referral
LD144,Kolkata,NIT Trichy,3rd,AI,LinkedIn
LD145,Ahmedabad,Jadavpur University,1st,Cloud Computing,LinkedIn
LD146,Hyderabad,NIT Trichy,2nd,Robotics,Instagram
LD147,Patna,Shivaji University,4th,Data Science,College Collaboration
LD148,Bangalore,University of Delhi,2nd,Electric Vehicle,Email
LD149,Bhopal,Shiv Nadar University,4th,Data Science,Email
LD150,Pune,IISc Bangalore,3rd,Data Science,Google Form
LD151,Mumbai,ABC Institute,1st,Cyber Security,Google Form
LD152,Lucknow,VIT Vellore,4th,Data Science,College Collaboration
LD153,Lucknow,Jadavpur University,1st,Cloud Computing,Google Form
LD154,Lucknow,ABC Institute,3rd,Robotics,Referral
LD155,Nagpur,NIT Trichy,1st,Electric Vehicle,Mass-Mailing
LD156,Patna,ABC Institute,2nd,Machine Learning,Facebook
LD157,Ahmedabad,IISc Bangalore,4th,AI,Instagram
LD158,Patna,Jadavpur University,2nd,Robotics,Facebook
LD159,Vadodara,NIT Warangal,2nd,Machine Learning,Instagram
LD160,Visakhapatnam,Manipal University,2nd,Machine Learning,WhatsApp
LD161,Mumbai,Bharati Vidyapeeth,4th,Electric Vehicle,Email
LD162,Delhi,Manipal University,4th,Robotics,Google Form
LD163,Nagpur,NIT Warangal,4th,Cloud Computing,Mass-Mailing
LD164,Chennai,NIT Warangal,1st,Robotics,WhatsApp
LD165,Chennai,Jamia Millia Islamia,3rd,Robotics,College Collaboration
LD166,Patna,IISc Bangalore,1st,AI,Mass-Mailing
LD167,Kolkata,Amity University,1st,Cyber Security,College Collaboration
LD168,Lucknow,XYZ University,2nd,Machine Learning,Referral
LD169,Lucknow,Bharati Vidyapeeth,3rd,Electric Vehicle,WhatsApp
LD170,Visakhapatnam,XYZ University,4th,AI,Instagram
LD171,Ahmedabad,NIT Warangal,3rd,Data Science,Email
LD172,Jaipur,XYZ University,3rd,Data Science,WhatsApp
LD173,Chennai,IISc Bangalore,1st,Robotics,Instagram
LD174,Coimbatore,ABC Institute,2nd,Data Science,Referral
LD175,Mumbai,SRM University,3rd,Machine Learning,Email
LD176,Mumbai,Shivaji University,3rd,Robotics,Mass-Mailing
LD177,Nagpur,SRM University,1st,Machine Learning,Email
LD178,Visakhapatnam,Manipal University,3rd,Robotics,Instagram
LD179,Trivandrum,Shiv Nadar University,3rd,Electric Vehicle,Referral
LD180,Delhi,VIT Vellore,1st,Machine Learning,Email
LD181,Hyderabad,Shiv Nadar University,3rd,Electric Vehicle,Facebook
LD182,Patna,XYZ University,1st,Data Science,WhatsApp
LD183,Mumbai,XYZ University,4th,Robotics,Facebook
LD184,Patna,University of Delhi,2nd,Data Science,Mass-Mailing
LD185,Mumbai,IISc Bangalore,3rd,Cloud Computing,Referral
LD186,Nagpur,SP College,2nd,Cyber Security,Facebook
LD187,Hyderabad,ABC Institute,4th,Data Science,Google Form
LD188,Surat,Bharati Vidyapeeth,3rd,Cloud Computing,WhatsApp
LD189,Chandigarh,Jamia Millia Islamia,1st,Cloud Computing,Mass-Mailing
LD190,Coimbatore,IIT Bombay,2nd,Machine Learning,WhatsApp
LD191,Jaipur,NIT Trichy,3rd,Cloud Computing,LinkedIn
LD192,Coimbatore,Amity University,2nd,Cyber Security,College Collaboration
LD193,Indore,NIT Warangal,1st,Cyber Security,Mass-Mailing
LD194,Hyderabad,Jadavpur University,1st,Data Science,Email
LD195,Indore,ABC Institute,1st,Data Science,Instagram
LD196,Vadodara,Jadavpur University,2nd,Machine Learning,Mass-Mailing
LD197,Bhopal,SRM University,2nd,Robotics,LinkedIn
LD198,Hyderabad,IISc Bangalore,1st,Cloud Computing,Instagram
LD199,Visakhapatnam,Jamia Millia Islamia,2nd,Machine Learning,Email
LD200,Ahmedabad,BITS Pilani,4th,Data Science,College Collaboration
LD201,Coimbatore,IIT Bombay,4th,Data Science,Referral
LD202,Indore,Jadavpur University,4th,Robotics,LinkedIn
LD203,Delhi,Manipal University,3rd,Electric Vehicle,LinkedIn
LD204,Vadodara,Shiv Nadar University,4th,Electric Vehicle,WhatsApp
LD205,Bhopal,MIT Pune,3rd,Cloud Computing,Instagram
LD206,Coimbatore,Jadavpur University,1st,AI,Mass-Mailing
LD207,Delhi,Amity University,4th,Machine Learning,Facebook
LD208,Trivandrum,BITS Pilani,1st,AI,LinkedIn
LD209,Surat,Manipal University,3rd,Cloud Computing,Google Form
LD210,Bhopal,Shivaji University,2nd,Cloud Computing,Google Form
LD211,Patna,Shiv Nadar University,4th,Cyber Security,Email
LD212,Lucknow,IIT Delhi,4th,Machine Learning,Google Form
LD213,Coimbatore,VIT Vellore,1st,Cyber Security,Mass-Mailing
LD214,Mumbai,Shiv Nadar University,1st,Electric Vehicle,College Collaboration
LD215,Hyderabad,ABC Institute,2nd,Cloud Computing,Instagram
LD216,Trivandrum,Manipal University,4th,Data Science,Referral
LD217,Delhi,IIT Delhi,4th,Electric Vehicle,WhatsApp
LD218,Chennai,Shiv Nadar University,4th,Machine Learning,Facebook
LD219,Hyderabad,University of Delhi,3rd,Cloud Computing,Email
LD220,Coimbatore,Jamia Millia Islamia,3rd,Electric Vehicle,WhatsApp
LD221,Coimbatore,IIT Delhi,4th,Electric Vehicle,Instagram
LD222,Pune,MIT Pune,2nd,Data Science,Email
LD223,Kolkata,Bharati Vidyapeeth,2nd,AI,LinkedIn
LD224,Hyderabad,Shivaji University,4th,Robotics,Google Form
LD225,Coimbatore,Amity University,3rd,Robotics,WhatsApp
LD226,Ahmedabad,Bharati Vidyapeeth,3rd,Electric Vehicle,Instagram
LD227,Kolkata,ABC Institute,1st,Cloud Computing,WhatsApp
LD228,Indore,BITS Pilani,4th,Machine Learning,College Collaboration
LD229,Vadodara,Bharati Vidyapeeth,1st,Cloud Computing,Mass-Mailing
LD230,Bangalore,IISc Bangalore,4th,Cloud Computing,Mass-Mailing
LD231,Lucknow,MIT Pune,4th,Data Science,Facebook
LD232,Mumbai,IIT Bombay,1st,Cloud Computing,Referral
LD233,Trivandrum,Shiv Nadar University,2nd,Robotics,Instagram
LD234,Bangalore,BITS Pilani,1st,Robotics,Google Form
LD235,Kolkata,NIT Trichy,1st,AI,Google Form
LD236,Bangalore,Amity University,4th,Electric Vehicle,LinkedIn
LD237,Indore,NIT Trichy,4th,Electric Vehicle,Google Form
LD238,Delhi,ABC Institute,1st,AI,LinkedIn
LD239,Mumbai,Bharati Vidyapeeth,4th,Data Science,Instagram
LD240,Chennai,Bharati Vidyapeeth,2nd,Machine Learning,Referral
LD241,Chandigarh,NIT Trichy,3rd,AI,Email
LD242,Patna,Shiv Nadar University,1st,Machine Learning,College Collaboration
LD243,Lucknow,IIT Delhi,4th,Cloud Computing,Instagram
LD244,Jaipur,Jamia Millia Islamia,2nd,AI,Referral
LD245,Chennai,SP College,2nd,Cyber Security,Mass-Mailing
LD246,Kolkata,Bharati Vidyapeeth,3rd,Cloud Computing,Referral
LD247,Indore,NIT Warangal,3rd,Cyber Security,Referral
LD248,Pune,VIT Vellore,3rd,Cyber Security,College Collaboration
LD249,Patna,IIT Delhi,4th,AI,WhatsApp
LD250,Bhopal,Manipal University,2nd,Machine Learning,Mass-Mailing
LD251,Hyderabad,Amity University,4th,Data Science,College Collaboration
LD252,Indore,Jamia Millia Islamia,1st,Robotics,WhatsApp
LD253,Visakhapatnam,IISc Bangalore,1st,Cyber Security,Facebook
LD254,Nagpur,XYZ University,3rd,Machine Learning,Google Form
LD255,Ahmedabad,University of Delhi,4th,AI,Instagram
LD256,Chennai,Manipal University,3rd,Robotics,WhatsApp
LD257,Surat,Shivaji University,3rd,Robotics,Mass-Mailing
LD258,Indore,VIT Vellore,1st,Machine Learning,Mass-Mailing
LD259,Mumbai,IIT Delhi,3rd,Cloud Computing,Referral
LD260,Ahmedabad,Shiv Nadar University,1st,Machine Learning,Email
LD261,Chennai,BITS Pilani,4th,Machine Learning,Mass-Mailing
LD262,Kolkata,NIT Warangal,2nd,AI,Email
LD263,Visakhapatnam,Bharati Vidyapeeth,3rd,Cyber Security,WhatsApp
LD264,Trivandrum,NIT Trichy,2nd,Data Science,Referral
LD265,Patna,NIT Warangal,4th,Data Science,Instagram
LD266,Bhopal,IIT Bombay,1st,Electric Vehicle,College Collaboration
LD267,Hyderabad,IIT Bombay,3rd,Electric Vehicle,Email
LD268,Hyderabad,Shiv Nadar University,1st,Electric Vehicle,Referral
LD269,Vadodara,NIT Warangal,3rd,AI,Instagram
LD270,Visakhapatnam,Shiv Nadar University,3rd,Data Science,Instagram
LD271,Nagpur,NIT Warangal,4th,Electric Vehicle,Facebook
LD272,Nagpur,Manipal University,4th,Electric Vehicle,Facebook
LD273,Chennai,MIT Pune,3rd,AI,Referral
LD274,Chennai,MIT Pune,1st,Machine Learning,Email
LD275,Lucknow,NIT Trichy,1st,Cyber Security,Facebook
LD276,Coimbatore,MIT Pune,3rd,AI,Google Form
LD277,Chandigarh,Jamia Millia Islamia,4th,Robotics,Instagram
LD278,Bangalore,XYZ University,1st,Electric Vehicle,Facebook
LD279,Pune,NIT Trichy,4th,Electric Vehicle,Instagram
LD280,Surat,BITS Pilani,4th,Machine Learning,Email
LD281,Patna,University of Delhi,3rd,Data Science,Instagram
LD282,Kolkata,XYZ University,4th,Cyber Security,Mass-Mailing
LD283,Coimbatore,Amity University,4th,Electric Vehicle,Referral
LD284,Hyderabad,Shivaji University,2nd,Electric Vehicle,LinkedIn
LD285,Visakhapatnam,BITS Pilani,3rd,Cyber Security,Mass-Mailing
LD286,Patna,IIT Delhi,4th,Cyber Security,Email
LD287,Patna,NIT Trichy,1st,AI,Email
LD288,Mumbai,Shiv Nadar University,3rd,Robotics,Email
LD289,Trivandrum,NIT Warangal,3rd,Machine Learning,Mass-Mailing
LD290,Hyderabad,Jadavpur University,3rd,Cloud Computing,College Collaboration
LD291,Chandigarh,IISc Bangalore,1st,Data Science,Google Form
LD292,Indore,NIT Warangal,2nd,AI,LinkedIn
LD293,Pune,Manipal University,2nd,Cyber Security,Instagram
LD294,Lucknow,Shivaji University,3rd,Cloud Computing,Facebook
LD295,Nagpur,IIT Delhi,4th,Robotics,Facebook
LD296,Bhopal,MIT Pune,3rd,Electric Vehicle,Email
LD297,Kolkata,Shivaji University,3rd,Machine Learning,College Collaboration
LD298,Patna,Shivaji University,1st,Cyber Security,Mass-Mailing
LD299,Lucknow,XYZ University,2nd,Cloud Computing,Mass-Mailing
LD300,Hyderabad,IISc Bangalore,2nd,Electric Vehicle,WhatsApp
LD301,Chennai,Shivaji University,4th,Cloud Computing,Referral
LD302,Kolkata,SRM University,4th,Cyber Security,Instagram
LD303,Nagpur,NIT Warangal,3rd,Machine Learning,College Collaboration
LD304,Visakhapatnam,ABC Institute,4th,Machine Learning,Facebook
LD305,Mumbai,VIT Vellore,3rd,Data Science,Instagram
LD306,Surat,BITS Pilani,2nd,Data Science,College Collaboration
LD307,Indore,University of Delhi,3rd,Robotics,LinkedIn
LD308,Coimbatore,MIT Pune,3rd,Robotics,Email
LD309,Chandigarh,Shivaji University,1st,Machine Learning,Instagram
LD310,Nagpur,IIT Delhi,4th,Cloud Computing,WhatsApp
LD311,Visakhapatnam,MIT Pune,1st,Data Science,Mass-Mailing
LD312,Chandigarh,SRM University,3rd,Machine Learning,WhatsApp
LD313,Delhi,SP College,4th,AI,Instagram
LD314,Indore,BITS Pilani,4th,AI,Google Form
LD315,Trivandrum,MIT Pune,4th,Machine Learning,Facebook
LD316,Coimbatore,IISc Bangalore,2nd,Cyber Security,LinkedIn
LD317,Vadodara,ABC Institute,2nd,Machine Learning,Mass-Mailing
LD318,Delhi,SP College,1st,AI,WhatsApp
LD319,Vadodara,BITS Pilani,2nd,Cloud Computing,Instagram
LD320,Bangalore,Bharati Vidyapeeth,2nd,AI,WhatsApp
LD321,Mumbai,IISc Bangalore,1st,Cyber Security,Facebook
LD322,Hyderabad,University of Delhi,1st,Robotics,Email
LD323,Jaipur,IIT Bombay,4th,AI,LinkedIn
LD324,Ahmedabad,NIT Trichy,1st,Cyber Security,Email
LD325,Delhi,IIT Delhi,1st,Electric Vehicle,LinkedIn
LD326,Lucknow,SRM University,4th,AI,College Collaboration
LD327,Lucknow,ABC Institute,1st,AI,Email
LD328,Chennai,Amity University,1st,Machine Learning,WhatsApp
LD329,Chandigarh,XYZ University,1st,Robotics,Email
LD330,Mumbai,NIT Trichy,2nd,AI,Mass-Mailing
LD331,Trivandrum,VIT Vellore,4th,AI,College Collaboration
LD332,Pune,SP College,3rd,AI,Facebook
LD333,Lucknow,VIT Vellore,4th,Cyber Security,Instagram
LD334,Ahmedabad,VIT Vellore,1st,Electric Vehicle,College Collaboration
LD335,Indore,IIT Delhi,2nd,Cyber Security,Referral
LD336,Mumbai,NIT Warangal,4th,AI,Referral
LD337,Lucknow,Bharati Vidyapeeth,1st,Data Science,Email
LD338,Surat,Bharati Vidyapeeth,2nd,Cloud Computing,Facebook
LD339,Jaipur,University of Delhi,2nd,Cyber Security,College Collaboration
LD340,Pune,SP College,3rd,Cyber Security,LinkedIn
LD341,Nagpur,SRM University,2nd,Cloud Computing,Google Form
LD342,Coimbatore,ABC Institute,1st,Data Science,Instagram
LD343,Trivandrum,Shivaji University,1st,AI,Email
LD344,Vadodara,Amity University,3rd,Machine Learning,Email
LD345,Visakhapatnam,Jamia Millia Islamia,4th,Robotics,Instagram
LD346,Chandigarh,University of Delhi,2nd,Robotics,Instagram
LD347,Nagpur,SRM University,2nd,AI,LinkedIn
LD348,Delhi,University of Delhi,4th,AI,Facebook
LD349,Vadodara,NIT Warangal,2nd,Cloud Computing,Mass-Mailing
LD350,Hyderabad,Jamia Millia Islamia,2nd,Cloud Computing,College Collaboration
LD351,Bhopal,NIT Warangal,4th,Electric Vehicle,Instagram
LD352,Bangalore,Jadavpur University,1st,Cloud Computing,Instagram
LD353,Kolkata,MIT Pune,3rd,Machine Learning,Mass-Mailing
LD354,Delhi,Jamia Millia Islamia,1st,Electric Vehicle,Email
LD355,Surat,IISc Bangalore,1st,AI,Referral
LD356,Kolkata,SRM University,3rd,Data Science,Instagram
LD357,Chennai,Shiv Nadar University,1st,AI,LinkedIn
LD358,Pune,Manipal University,3rd,Electric Vehicle,WhatsApp
LD359,Hyderabad,NIT Warangal,4th,Data Science,College Collaboration
LD360,Coimbatore,Jadavpur University,3rd,Data Science,College Collaboration
LD361,Coimbatore,ABC Institute,3rd,Machine Learning,Email
LD362,Mumbai,Jamia Millia Islamia,1st,Machine Learning,Instagram
LD363,Mumbai,NIT Trichy,3rd,Cloud Computing,Referral
LD364,Mumbai,NIT Warangal,2nd,AI,Instagram
LD365,Nagpur,IIT Bombay,4th,Machine Learning,Referral
LD366,Chandigarh,Shivaji University,1st,Electric Vehicle,WhatsApp
LD367,Indore,SRM University,1st,Machine Learning,Mass-Mailing
LD368,Mumbai,VIT Vellore,4th,Cyber Security,Facebook
LD369,Patna,MIT Pune,1st,Cloud Computing,Instagram
LD370,Ahmedabad,BITS Pilani,3rd,Data Science,College Collaboration
LD371,Patna,University of Delhi,4th,Data Science,Email
LD372,Pune,Jadavpur University,4th,Data Science,Facebook
LD373,Nagpur,Amity University,1st,Cloud Computing,Facebook
LD374,Visakhapatnam,Bharati Vidyapeeth,2nd,Machine Learning,Instagram
LD375,Chandigarh,IIT Delhi,2nd,Electric Vehicle,WhatsApp
LD376,Delhi,IIT Bombay,4th,Robotics,WhatsApp
LD377,Nagpur,Manipal University,1st,Cyber Security,Google Form
LD378,Kolkata,Jadavpur University,3rd,AI,Email
LD379,Mumbai,ABC Institute,2nd,Cloud Computing,Mass-Mailing
LD380,Visakhapatnam,SRM University,3rd,Data Science,Facebook
LD381,Pune,XYZ University,2nd,Cloud Computing,Mass-Mailing
LD382,Mumbai,Bharati Vidyapeeth,1st,Machine Learning,Mass-Mailing
LD383,Hyderabad,VIT Vellore,1st,Cyber Security,Mass-Mailing
LD384,Nagpur,SRM University,3rd,Robotics,Email
LD385,Vadodara,Manipal University,1st,Cloud Computing,Instagram
LD386,Ahmedabad,Shiv Nadar University,3rd,Robotics,LinkedIn
LD387,Chandigarh,MIT Pune,1st,Electric Vehicle,Instagram
LD388,Ahmedabad,BITS Pilani,4th,Machine Learning,Google Form
LD389,Patna,IIT Bombay,2nd,Data Science,Mass-Mailing
LD390,Chandigarh,IISc Bangalore,1st,Robotics,WhatsApp
LD391,Hyderabad,XYZ University,1st,Data Science,WhatsApp
LD392,Trivandrum,MIT Pune,1st,AI,Email
LD393,Trivandrum,VIT Vellore,2nd,Machine Learning,Instagram
LD394,Jaipur,IIT Delhi,4th,AI,Referral
LD395,Delhi,VIT Vellore,1st,AI,College Collaboration
LD396,Mumbai,Jamia Millia Islamia,2nd,Cyber Security,Mass-Mailing
LD397,Jaipur,BITS Pilani,3rd,Cyber Security,LinkedIn
LD398,Indore,SP College,1st,Robotics,WhatsApp
LD399,Chandigarh,XYZ University,4th,Cyber Security,Google Form
LD400,Trivandrum,University of Delhi,1st,AI,LinkedIn
LD401,Indore,VIT Vellore,2nd,Electric Vehicle,WhatsApp
LD402,Pune,VIT Vellore,3rd,Machine Learning,Google Form
LD403,Nagpur,NIT Warangal,3rd,AI,Mass-Mailing
LD404,Surat,Manipal University,1st,Robotics,WhatsApp
LD405,Vadodara,Shiv Nadar University,3rd,Data Science,Instagram
LD406,Coimbatore,XYZ University,3rd,Electric Vehicle,WhatsApp
LD407,Nagpur,Jamia Millia Islamia,2nd,Machine Learning,College Collaboration
LD408,Vadodara,NIT Warangal,1st,Electric Vehicle,Instagram
LD409,Jaipur,Shivaji University,2nd,Cyber Security,Google Form
LD410,Jaipur,SP College,1st,Cyber Security,WhatsApp
LD411,Delhi,Amity University,4th,Electric Vehicle,LinkedIn
LD412,Bangalore,Jamia Millia Islamia,4th,Cyber Security,Facebook
LD413,Bhopal,SP College,1st,Data Science,Facebook
LD414,Ahmedabad,Amity University,1st,Robotics,Google Form
LD415,Indore,MIT Pune,1st,Cyber Security,Mass-Mailing
LD416,Visakhapatnam,SP College,4th,Cyber Security,Instagram
LD417,Ahmedabad,SP College,3rd,Cyber Security,Instagram
LD418,Lucknow,Jadavpur University,4th,Robotics,Facebook
LD419,Mumbai,IIT Delhi,4th,Machine Learning,Referral
LD420,Pune,Bharati Vidyapeeth,1st,Machine Learning,Instagram
